Date,Identit�,R�sultat
2025-05-09 13:58:22.010549,unknown,untrusted
2025-05-09 13:58:59.926825,unknown,untrusted
2025-05-09 13:59:48.715522,unknown,untrusted
2025-05-09 14:02:03.958628,douae,trusted
2025-05-09 14:02:04.141234,douae,trusted
2025-05-09 14:02:50.949714,douae,trusted
2025-05-09 14:03:37.584174,douae,trusted
2025-05-09 14:03:40.180288,douae,trusted
2025-05-09 14:03:47.276992,douae,trusted
2025-05-09 14:04:25.508615,douae,trusted
2025-05-09 14:04:40.911258,douae,trusted
2025-05-09 14:04:59.043219,douae,trusted
2025-05-09 14:05:22.523510,unknown,untrusted
2025-05-09 14:10:56.417345,unknown,untrusted
2025-05-09 14:11:36.406883,assia,trusted
2025-05-09 14:12:39.388906,assia,trusted
2025-05-09 14:43:29.177452,assia,trusted
2025-05-09 14:43:46.752892,douae,trusted
2025-05-09 14:45:50.956094,douae,trusted
2025-05-09 14:46:03.471450,douae,trusted
2025-05-09 14:46:35.028734,douae,trusted
2025-05-09 14:49:19.274827,douae,trusted
2025-05-09 14:50:44.583542,douae,trusted
2025-05-09 14:52:41.049915,douae,trusted
2025-05-09 15:29:54.149337,assia,trusted
2025-05-09 15:39:13.880251,douae,trusted
2025-05-09 15:39:56.667349,douae,trusted
2025-05-09 15:41:23.633145,douae,trusted
2025-05-09 15:41:44.705712,unknown,untrusted
2025-05-09 15:56:25.493048,douae,trusted
2025-05-09 15:59:07.051877,douae,trusted
2025-05-09 15:59:26.124400,unknown,untrusted
2025-05-09 16:00:20.742544,unknown,untrusted
2025-05-10 12:42:05.730176,douae,trusted
2025-05-10 12:42:36.579045,unknown,untrusted
2025-05-10 12:45:26.600223,douae,trusted
2025-05-10 12:47:38.105458,unknown,untrusted
2025-05-10 12:48:04.004840,unknown,untrusted
2025-05-10 12:48:10.536476,unknown,untrusted
2025-05-10 13:48:20.177442,unknown,untrusted
2025-05-10 13:49:10.726845,unknown,untrusted
2025-05-10 13:50:53.765804,unknown,untrusted
2025-05-10 13:53:12.486016,unknown,untrusted
2025-05-10 14:03:11.358932,unknown,untrusted
2025-05-10 14:17:55.355654,unknown,untrusted
2025-05-10 14:20:07.975100,unknown,untrusted
2025-05-10 14:28:04.978646,unknown,untrusted
2025-05-10 14:28:19.053480,unknown,untrusted
2025-05-10 14:36:57.465963,unknown,untrusted
2025-05-10 14:48:33.275257,unknown,untrusted
2025-05-10 14:51:55.787509,unknown,untrusted
2025-05-10 14:53:09.456841,unknown,untrusted
2025-05-10 14:55:37.731164,unknown,untrusted
2025-05-10 15:01:27.055648,unknown,untrusted
2025-05-10 15:02:42.397315,unknown,untrusted
2025-05-10 15:10:01.264401,unknown,untrusted
2025-05-10 15:15:38.276174,unknown,untrusted
2025-05-10 15:18:34.597657,unknown,untrusted
2025-05-10 15:20:21.589287,unknown,untrusted
2025-05-10 15:28:27.753116,unknown,untrusted
2025-05-10 15:28:53.495482,unknown,untrusted
2025-05-10 15:34:42.764268,unknown,untrusted
2025-05-10 18:15:26.805487,douae,trusted
2025-05-10 18:16:47.599589,douae,trusted
2025-05-10 18:19:01.452162,douae,trusted
2025-05-10 18:19:20.600700,douae,trusted
2025-05-10 18:19:36.403337,douae,trusted
2025-05-10 18:19:51.431946,douae,trusted
2025-05-10 18:20:08.368658,douae,trusted
2025-05-11 15:24:04.245673,unknown,untrusted
2025-05-11 15:24:59.888675,unknown,untrusted
2025-05-11 17:56:34.029569,douae,trusted
2025-05-11 18:01:50.534461,douae,trusted
2025-05-11 18:02:13.851260,douae,trusted
2025-05-11 18:02:38.683618,douae,trusted
2025-05-11 18:56:25.071259,douae,trusted
2025-05-11 18:56:38.176169,douae,trusted
2025-05-11 18:56:57.898439,unknown,untrusted
2025-05-11 19:01:47.740749,douae,trusted
2025-05-11 19:02:15.248413,douae,trusted
2025-05-11 19:02:31.099854,douae,trusted
2025-05-11 19:03:32.379184,douae,trusted
2025-05-11 19:05:01.954282,douae,trusted
2025-05-11 20:04:46.235295,douae,trusted
2025-05-11 20:05:01.944638,assia,trusted
2025-05-11 21:28:23.806217,unknown,untrusted
2025-05-11 21:28:52.151321,douae,trusted
2025-05-11 21:29:00.254363,assia,trusted
2025-05-11 21:29:47.724693,douae,trusted
2025-05-11 22:36:08.937993,douae,trusted
2025-05-11 22:36:21.241930,douae,trusted
2025-05-11 23:32:29.133381,douae,trusted
2025-05-11 23:33:04.743646,unknown,untrusted
2025-05-11 23:33:18.176199,unknown,untrusted
2025-05-11 23:34:17.174054,unknown,untrusted
2025-05-11 23:35:30.351835,unknown,untrusted
2025-05-11 23:35:40.660631,unknown,untrusted
2025-05-11 23:36:56.639254,unknown,untrusted
2025-05-11 23:40:24.724401,unknown,untrusted
2025-05-11 23:41:51.291612,unknown,untrusted
2025-05-11 23:42:38.836212,unknown,untrusted
2025-05-11 23:43:19.615987,unknown,untrusted
2025-05-11 23:50:39.688755,unknown,untrusted
2025-05-11 23:51:32.557438,unknown,untrusted
2025-05-12 00:21:32.387876,unknown,untrusted
2025-05-12 00:26:32.700326,unknown,untrusted
2025-05-12 00:27:10.387605,douae,trusted
2025-05-12 13:09:58.833365,douae,trusted
2025-05-12 13:32:54.305681,douae,trusted
2025-05-12 13:33:21.291749,unknown,untrusted
2025-05-12 13:42:50.570098,douae,trusted
2025-05-12 13:43:09.067419,unknown,untrusted
2025-05-12 14:38:27.148194,unknown,untrusted
2025-05-12 14:41:59.185951,douae,trusted
2025-05-12 14:42:29.439171,douae,trusted
2025-05-12 14:44:03.907673,assia,trusted
2025-05-12 14:44:33.660352,unknown,untrusted
2025-05-12 14:53:20.113047,INRA,trusted

2025-05-12 14:54:50.480422,unknown,untrusted
2025-05-12 14:55:21.524997,unknown,untrusted
2025-05-12 14:55:43.024189,INRA,trusted
2025-05-12 14:56:03.482258,INRA,trusted
2025-05-12 14:56:35.532298,unknown,untrusted
2025-05-12 14:56:45.138232,unknown,untrusted
2025-05-12 14:57:53.971132,unknown,untrusted
2025-05-12 14:58:27.173132,kaoutar,trusted
2025-05-12 14:58:35.249226,kaoutar,trusted
2025-05-12 14:59:22.708474,INRA,trusted
2025-05-12 14:59:32.825467,unknown,untrusted
2025-05-12 16:03:15.843607,douae,trusted
2025-05-12 16:34:28.134946,douae,trusted
2025-05-12 16:34:59.928259,douae,trusted
2025-05-12 16:36:47.869840,douae,trusted
2025-05-12 16:38:32.600307,douae,trusted
2025-05-12 16:39:54.359903,unknown,untrusted
2025-05-12 16:40:00.250628,unknown,untrusted
2025-05-12 16:40:12.284344,douae,trusted
2025-05-12 16:40:17.372702,douae,trusted
2025-05-12 16:46:48.211831,douae,trusted
2025-05-12 16:46:55.768748,douae,trusted
2025-05-12 16:47:05.678998,douae,trusted
2025-05-12 16:48:11.001274,douae,trusted
2025-05-12 16:48:16.665809,unknown,untrusted
2025-05-12 16:48:22.631342,unknown,untrusted
2025-05-12 19:48:49.515156,unknown,untrusted
2025-05-12 19:51:23.519733,douae,trusted
2025-05-12 19:51:33.714790,douae,trusted
2025-05-12 19:51:47.644937,douae,trusted
2025-05-12 21:30:22.699702,douae,trusted
2025-05-12 21:41:33.748261,douae,trusted
2025-05-12 22:26:19.454924,unknown,untrusted
2025-05-12 22:26:54.236070,douae,trusted
